user,userplays,artist,album,song,date
hauntedryan,1,Bladee,The Fool,BBY,2023-07-09 04:28:45.695000+00:00
sinkoe,137,Bladee,D&G,Scarecrows,2023-07-09 04:28:34.782000+00:00
enbycarry,29,Bladee,Eversince,Bloodveil / Stillborn,2023-07-09 04:29:57.588000+00:00
viplife,37,Bladee,Icedancer,Waster,2023-07-09 04:31:55.784000+00:00
thaigirl,20,Bladee,Spiderr,UNDERSTATEMENT,2023-07-09 04:32:10.147000+00:00
viplife,38,Bladee,Icedancer,Waster,2023-07-09 04:31:55.784000+00:00
enbycarry,30,Bladee,Eversince,Bloodveil / Stillborn,2023-07-09 04:32:27.182000+00:00
enbycarry,31,Bladee,Eversince,Sugar,2023-07-09 04:33:44.619000+00:00
viplife,39,Bladee,Icedancer,OKK,2023-07-09 04:33:56.746000+00:00
viplife,40,Bladee,Icedancer,OKK,2023-07-09 04:33:56.746000+00:00
cshr,1,Bladee,Crest,The Flag is Raised,2023-07-09 04:34:43.156000+00:00
cshr,2,Bladee,Crest,The Flag is Raised,2023-07-09 04:34:53.039000+00:00
enbycarry,32,Bladee,Spiderr,BLUE CRUSH ANGEL,2023-07-09 04:35:04.351000+00:00
viplife,41,Bladee,Working on Dying,Gatekeeper,2023-07-09 04:35:30.591000+00:00
viplife,42,Bladee,Working on Dying,Gatekeeper,2023-07-09 04:35:30.753000+00:00
stefanburnett.,12,Bladee,The Fool,Hotel Breakfast,2023-07-09 04:36:27.392000+00:00
stefanburnett.,13,Bladee,The Fool,Hotel Breakfast,2023-07-09 04:36:45.892000+00:00
azusagawakaede,5,Ecco2k,Amygdala,Amygdala,2023-07-09 04:37:48.660000+00:00
enbycarry,33,Bladee,Spiderr,NOTHINGG,2023-07-09 04:38:12.737000+00:00
v4rnus,6,Bladee,Crest,Chaos Follows,2023-07-09 04:38:17.258000+00:00
viplife,43,Bladee,Working on Dying,Gatekeeper,2023-07-09 04:35:30.591000+00:00
enbycarry,34,Bladee,Spiderr,ICARUS 3REESTYLE,2023-07-09 04:38:23.373000+00:00
cshr,3,Bladee,Icedancer,Be Nice 2 Me,2023-07-09 04:39:38.526000+00:00
cshr,4,Bladee,Icedancer,Be Nice 2 Me,2023-07-09 04:39:48.506000+00:00
azusagawakaede,6,Bladee,Icedancer,Dg Jeans,2023-07-09 04:39:58.692000+00:00
cshr,5,Bladee,Icedancer,Be Nice 2 Me,2023-07-09 04:40:56.660000+00:00
v4rnus,7,Ecco2k,Trash Island,Western Union,2023-07-09 04:41:05.729000+00:00
thaigirl,21,Bladee,Eversince,Lovenote,2023-07-09 04:41:16.003000+00:00
viplife,44,Bladee,Red Light,1D,2023-07-09 04:44:24.611000+00:00
viplife,45,Bladee,Red Light,1D,2023-07-09 04:44:24.611000+00:00
.grieff,45,Bladee,Red Light,I'm Goofy,2023-07-09 04:46:13.816000+00:00
viplife,46,Bladee,Sunset in Silver City,Smile,2023-07-09 04:51:42.133000+00:00
theflagisraised,60,Bladee,Eversince,Sugar,2023-07-09 04:52:00.791000+00:00
theflagisraised,61,Bladee,Eversince,Rip,2023-07-09 04:52:32.762000+00:00
fucblonded,14,Thaiboy Digital,Back 2 Life,All the Way,2023-07-09 04:54:14.594000+00:00
theflagisraised,62,Bladee,Eversince,Bloodveil / Stillborn,2023-07-09 04:55:26.774000+00:00
whenyousleepmbv,2,Cartier God,Let Me Go,Let Me Go,2023-07-09 04:55:31.150000+00:00
theflagisraised,63,Bladee,Eversince,Wrist Cry,2023-07-09 04:55:36.373000+00:00
whenyousleepmbv,3,Cartier God,Let Me Go,Let Me Go,2023-07-09 04:55:38.548000+00:00
whenyousleepmbv,4,Cartier God,Let Me Go,Let Me Go,2023-07-09 04:55:51.447000+00:00
viplife,47,Bladee,333,Hero of My Story 3style3,2023-07-09 04:56:17.651000+00:00
.09.,155,Bladee,D&G,First Crush,2023-07-09 04:57:01.462000+00:00
.09.,156,Bladee,D&G,First Crush,2023-07-09 04:57:06.605000+00:00
.09.,157,Bladee,D&G,First Crush,2023-07-09 04:57:07.373000+00:00
viplife,48,Bladee,333,Hero of My Story 3style3,2023-07-09 04:56:17.651000+00:00
viplife,49,Bladee,333,Hero of My Story 3style3,2023-07-09 04:57:54.881000+00:00
viplife,50,Bladee,Icedancer,Close,2023-07-09 04:58:17.163000+00:00
viplife,51,Bladee,Icedancer,Close,2023-07-09 04:58:24.686000+00:00
v4rnus,8,Ecco2k,Trash Island,Western Union,2023-07-09 04:58:36.389000+00:00
v4rnus,9,Bladee,Eversince,Rip,2023-07-09 04:58:36.429000+00:00
v4rnus,10,Bladee,Eversince,Rip,2023-07-09 04:58:42.170000+00:00
v4rnus,11,Bladee,Eversince,Rip,2023-07-09 04:58:54.158000+00:00
v4rnus,12,Bladee,Eversince,Rip,2023-07-09 04:58:54.526000+00:00
nehorai4NEM,29,Skrillex,Don’t Get Too Close,Ceremony,2023-07-09 05:00:11.464000+00:00
nehorai4NEM,30,Skrillex,Don’t Get Too Close,Ceremony,2023-07-09 05:00:21.437000+00:00
viplife,52,Bladee,Icedancer,Close,2023-07-09 04:58:17.163000+00:00
Pow,50,Bladee,Vanilla Sky,Vanilla Sky,2023-07-09 05:00:30.984000+00:00
nehorai4NEM,31,Bladee,Working on Dying,Under Your Spell,2023-07-09 05:00:49.832000+00:00
viplife,53,Yung Lean,Frost God,Hennessy & Sailor Moon,2023-07-09 05:01:38.699000+00:00
v4rnus,13,Bladee,Eversince,Rip,2023-07-09 05:01:44.378000+00:00
locsnow,33,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-09 05:03:21.190000+00:00
locsnow,34,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-09 05:03:36.065000+00:00
myinhibitions,141,Bladee,Working on Dying,Gatekeeper,2023-07-09 05:04:20.757000+00:00
myinhibitions,142,Bladee,Working on Dying,Gatekeeper,2023-07-09 05:04:20.828000+00:00
hayliexyz,5,Yung Lean,Frost God,Hennessy & Sailor Moon,2023-07-09 05:05:36.139000+00:00
hayliexyz,6,Yung Lean,Frost God,Hennessy & Sailor Moon,2023-07-09 05:05:36.600000+00:00
gatecoded,39,Bladee,Red Light,Decay,2023-07-09 05:05:53.799000+00:00
vandexity,208,Thaiboy Digital,Legendary Member,Legendary Member,2023-07-09 05:06:31.324000+00:00
vandexity,209,Thaiboy Digital,Legendary Member,Legendary Member,2023-07-09 05:06:41.018000+00:00
myinhibitions,143,Bladee,Working on Dying,Gatekeeper,2023-07-09 05:07:35.709000+00:00
myinhibitions,144,Bladee,Working on Dying,Gatekeeper,2023-07-09 05:07:35.768000+00:00
myinhibitions,145,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:07:56.734000+00:00
myinhibitions,146,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:07:56.789000+00:00
vandexity,210,Thaiboy Digital,Legendary Member,Legendary Member,2023-07-09 05:06:41.018000+00:00
vandexity,211,Bladee,Crest,Chaos Follows,2023-07-09 05:09:07.475000+00:00
vandexity,212,Bladee,Crest,Chaos Follows,2023-07-09 05:09:07.622000+00:00
vandexity,213,Bladee,Crest,Chaos Follows,2023-07-09 05:09:17.173000+00:00
vandexity,214,Bladee,Crest,Chaos Follows,2023-07-09 05:09:17.290000+00:00
viplife,54,Bladee,Red Light,Decay,2023-07-09 05:09:37.138000+00:00
myinhibitions,147,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:10:32.931000+00:00
myinhibitions,148,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:10:32.971000+00:00
cexn,9,Bladee,Plastic Surgery,Doorman,2023-07-09 05:10:35.210000+00:00
cexn,10,Bladee,Plastic Surgery,Doorman,2023-07-09 05:10:44.625000+00:00
jkingisdrained,32,Bladee,The Fool,Let's Ride,2023-07-09 05:10:53.445000+00:00
kalaif,16,Bladee,rip bladee,Psycho,2023-07-09 05:11:22.743000+00:00
vandexity,215,Bladee,Crest,Chaos Follows,2023-07-09 05:09:17.173000+00:00
enbycarry,35,Bladee,333,Reality Surf,2023-07-09 05:12:49.248000+00:00
enbycarry,36,Bladee,333,Reality Surf,2023-07-09 05:12:51.290000+00:00
enbycarry,37,Bladee,333,Reality Surf,2023-07-09 05:12:51.290000+00:00
myinhibitions,149,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:13:04.439000+00:00
myinhibitions,150,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:13:04.528000+00:00
myinhibitions,151,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:13:08.864000+00:00
myinhibitions,152,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:13:09.009000+00:00
myinhibitions,153,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:13:23.682000+00:00
myinhibitions,154,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:13:23.688000+00:00
myinhibitions,155,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:13:23.792000+00:00
myinhibitions,156,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:13:23.848000+00:00
myinhibitions,157,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:13:28.433000+00:00
myinhibitions,158,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:13:28.533000+00:00
myinhibitions,159,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:13:30.810000+00:00
myinhibitions,160,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 05:13:30.896000+00:00
albre,1,Thaiboy Digital,Legendary Member,Legendary Member,2023-07-09 05:14:14.618000+00:00
myinhibitions,161,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:15:21.253000+00:00
myinhibitions,162,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:15:21.308000+00:00
azusagawakaede,7,Bladee,The Fool,BBY,2023-07-09 05:15:54.112000+00:00
bxxmin,56,Bladee,The Fool,egobaby,2023-07-09 05:16:01.115000+00:00
bxxmin,57,Bladee,The Fool,egobaby,2023-07-09 05:16:09.034000+00:00
myinhibitions,163,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:16:36.222000+00:00
myinhibitions,164,Bladee,Plastic Surgery,It Suxx,2023-07-09 05:16:36.349000+00:00
1lilshine,10,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-09 05:18:22.597000+00:00
myinhibitions,165,Bladee,Plastic Surgery,Doorman,2023-07-09 05:18:28.375000+00:00
